,state,timestamp,id_house,id_sensor
0,on,1674048404.455013,8,46
1,off,1674048406.359727,8,46
2,on,1674048407.973624,8,45
3,off,1674048408.966461,8,45
4,on,1674053168.999419,8,48
5,off,1674053174.001127,8,48
6,off,1674053190.890157,8,49
7,off,1674053500.416088,8,50
8,on,1674053509.462594,8,50
9,off,1674053598.287921,8,50
10,on,1674053600.944005,8,50
11,off,1674053615.948781,8,50
12,on,1674053630.774822,8,50
13,off,1674053660.66116,8,50
14,on,1674053661.923248,8,50
15,off,1674053676.921972,8,50
16,on,1674053776.523258,8,50
17,off,1674053791.518849,8,50
18,off,1674053806.57011,8,50
19,on,1674053864.021992,8,50
20,off,1674053879.016052,8,50
21,on,1674053936.774936,8,50
22,off,1674053951.776151,8,50
23,on,1674053993.45708,8,50
24,on,1674054000.257828,8,51
25,off,1674054008.46329,8,50
26,off,1674054070.257951,8,51
27,on,1674054081.504104,8,50
28,off,1674054096.506205,8,50
29,on,1674054103.751136,8,50
30,off,1674054118.750977,8,50
31,on,1674054183.095844,8,50
32,off,1674054198.099032,8,50
33,on,1674054225.996053,8,50
34,off,1674054240.997603,8,50
35,on,1674054327.232858,8,50
36,off,1674054342.229723,8,50
37,on,1674054342.312249,8,50
38,off,1674054357.320996,8,50
39,on,1674054403.210921,8,50
40,off,1674054418.211857,8,50
41,on,1674054426.435406,8,50
42,off,1674054441.437402,8,50
43,on,1674054453.100409,8,50
44,off,1674054468.10195,8,50
45,on,1674054484.400799,8,50
46,off,1674054499.406983,8,50
47,on,1674054525.378446,8,50
48,off,1674054540.376707,8,50
49,on,1674054563.590307,8,50
50,off,1674054578.591352,8,50
51,on,1674054588.366775,8,50
52,on,1674054588.715879,8,51
53,off,1674054633.122137,8,50
54,on,1674054636.447152,8,50
55,off,1674054651.446958,8,50
56,on,1674054653.901264,8,50
57,on,1674054675.73393,8,45
58,on,1674054676.194703,8,46
59,off,1674054678.605837,8,46
60,off,1674054678.658681,8,46
61,on,1674054678.970439,8,49
62,on,1674054679.075551,8,48
63,off,1674054683.803337,8,50
64,off,1674054684.07887,8,48
65,on,1674054689.415228,8,50
66,on,1674054689.6098,8,48
67,off,1674054699.593962,8,48
